interferer_to_user_db,code_cross_correlation,bits,errors,ber,ci95_low,ci95_high
-10,0.007874015748031496,6000,0,0.0,0.0,0.0006398334877830824
0,0.007874015748031496,6000,4,0.0006666666666666666,0.00025928322870307516,0.0017130304810962968
10,0.007874015748031496,6000,3,0.0005,0.00017005936291449226,0.001469134291380807
20,0.007874015748031496,6000,3,0.0005,0.00017005936291449226,0.001469134291380807
30,0.007874015748031496,6000,14,0.0023333333333333335,0.0013904661339688266,0.003913048130871269
