payload,bits,errors,ber,ci95_low,ci95_high,evm_rms
random,512,1,0.001953125,0.0003448577615433879,0.010979278212421435,0.40341177643007153
alternating,512,0,0.0,0.0,0.007446975722882332,0.40071896853599676
bursts,512,0,0.0,0.0,0.007446975722882332,0.3789259359736127
zeros,512,0,0.0,0.0,0.007446975722882332,0.396405696237172
ones,512,0,0.0,0.0,0.007446975722882332,0.3958911408839089
text,248,0,0.0,0.0,0.015253480656768889,0.38937595897356
pcm8,4096,3,0.000732421875,0.00024912009481520064,0.002151328537050866,0.39504243851064025
