ebn0_db,code_rate,theory_uncoded,bits,errors,ber,ci95_low,ci95_high
0,0.3333333333333333,0.07864960352514258,6000,468,0.078,0.07148125650590534,0.08505876295778358
4,0.3333333333333333,0.01250081804073755,6000,91,0.015166666666666667,0.012369920367943777,0.018583838170709886
8,0.3333333333333333,0.00019090777407599314,6000,0,0.0,0.0,0.0006398334877830824
