receiver,path_delay_chips,bits,errors,ber,ci95_low,ci95_high,evm_rms
single_finger,1,5000,14,0.0028,0.0016686770757911582,0.004694725738373604,0.5082065512376973
known_channel_matched,1,5000,1,0.0002,3.530578343936667e-05,0.0011320890808396928,0.39586927217450313
single_finger,8,5000,15,0.003,0.0018189297776376996,0.00494416595574904,0.5148141509844724
known_channel_matched,8,5000,4,0.0008,0.00031114697610157055,0.0020553266458434205,0.4011493021350377
single_finger,64,5000,25,0.005,0.0033891014531032292,0.007370923472503283,0.5183683650535461
known_channel_matched,64,5000,0,0.0,0.0,0.000767701945057082,0.39293825848203623
