model,sample_rate_hz,chip_rate_hz,bit_rate_bps,obw99_hz,mean_discrete_power
BPSK,8000000.0,2000000.0,15748.031496062993,312500.0,0.001968503937007874
DSSS,8000000.0,2000000.0,15748.031496062993,6785156.25,0.001968503937007874
